Store,Order,Seasonal_Order
1,"(1, 0, 1)","(2, 1, 0, 52)"
2,"(1, 0, 3)","(2, 1, 0, 52)"
3,"(0, 1, 1)","(0, 1, 1, 52)"
4,"(1, 1, 0)","(0, 1, 0, 52)"
5,"(1, 0, 1)","(0, 1, 1, 52)"
6,"(1, 0, 1)","(0, 1, 2, 52)"
7,"(0, 1, 1)","(0, 1, 0, 52)"
8,"(3, 0, 1)","(0, 1, 2, 52)"
9,"(2, 1, 0)","(0, 1, 0, 52)"
10,"(1, 0, 0)","(1, 1, 0, 52)"
11,"(1, 0, 1)","(2, 1, 0, 52)"
12,"(0, 1, 1)","(0, 1, 1, 52)"
13,"(2, 0, 3)","(2, 1, 0, 52)"
14,"(0, 1, 2)","(0, 1, 1, 52)"
15,"(2, 0, 0)","(2, 1, 0, 52)"
16,"(1, 1, 0)","(0, 1, 1, 52)"
17,"(0, 0, 0)","(1, 1, 1, 52)"
18,"(2, 0, 2)","(0, 1, 2, 52)"
19,"(1, 0, 1)","(0, 1, 0, 52)"
20,"(0, 0, 0)","(0, 1, 1, 52)"
21,"(0, 0, 0)","(0, 1, 0, 52)"
22,"(0, 0, 0)","(1, 1, 0, 52)"
23,"(0, 1, 1)","(0, 1, 1, 52)"
24,"(0, 0, 0)","(2, 1, 0, 52)"
25,"(1, 0, 0)","(0, 1, 2, 52)"
26,"(1, 1, 0)","(2, 1, 0, 52)"
27,"(1, 0, 0)","(1, 1, 0, 52)"
28,"(0, 0, 1)","(0, 1, 0, 52)"
29,"(0, 0, 0)","(0, 1, 2, 52)"
30,"(1, 1, 0)","(0, 1, 1, 52)"
31,"(2, 1, 0)","(2, 1, 0, 52)"
32,"(0, 0, 0)","(0, 1, 0, 52)"
33,"(1, 1, 0)","(2, 1, 0, 52)"
34,"(2, 1, 0)","(0, 1, 0, 52)"
35,"(0, 1, 1)","(0, 1, 1, 52)"
36,"(0, 1, 0)","(0, 1, 0, 52)"
37,"(0, 0, 1)","(0, 1, 0, 52)"
38,"(1, 1, 0)","(0, 1, 0, 52)"
39,"(2, 1, 0)","(2, 1, 0, 52)"
40,"(1, 1, 0)","(0, 1, 1, 52)"
41,"(0, 0, 0)","(0, 1, 0, 52)"
42,"(1, 1, 0)","(2, 1, 0, 52)"
43,"(0, 1, 0)","(0, 1, 0, 52)"
44,"(1, 0, 0)","(0, 1, 2, 52)"
45,"(1, 0, 1)","(0, 1, 1, 52)"
